borough,neighborhood,building_class_category,tax_class_at_present,block,lot,building_class_at_present,address,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,building_age
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1750,66,C5,14 EAST 126 STREET,10035,7,0,7,1873.0,2919.0,1909,2,C5,1500000.0,2016-12-05,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1751,50,C3,1991 MADISON AVENUE,10035,4,0,4,1444.0,4408.0,1930,2,C3,2675000.0,2017-05-05,87
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1751,56,C3,1984 MADISON AVENUE,10035,4,0,4,1700.0,4400.0,1909,2,C3,2597000.0,2017-08-11,108
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1753,63,C9,18 EAST 129 STREET,10035,4,0,4,1848.0,2585.0,1900,2,C9,3250000.0,2017-04-13,117
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1754,57,C3,2052 MADISON AVENUE,10035,4,0,4,1231.0,4140.0,1910,2,C3,2165000.0,2017-04-03,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1772,150,C1,154 EAST 124 STREET,10035,8,0,8,2153.0,3424.0,1900,2,C1,1506000.0,2016-12-28,116
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1821,19,C4,119 WEST 111 STREET,10026,9,0,9,1413.0,3750.0,1900,2,C4,2000000.0,2017-03-20,117
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1827,144,C5,226 WEST 112 STREET,10026,8,0,8,1716.0,3213.0,1890,2,C5,1300000.0,2017-05-30,127
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1902,37,C3,102 WEST 118 STREET,10026,4,0,4,1716.0,2550.0,1910,2,C3,2298307.0,2017-05-19,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1903,147,C3,128 WEST 119 STREET,10026,4,0,4,2018.0,3668.0,1929,2,C3,2795000.0,2017-03-17,88
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1907,27,C5,107 WEST 122 STREET,10027,7,0,7,1917.0,3806.0,1910,2,C5,1900000.0,2016-09-07,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1911,13,C3,147 WEST 126TH STREET,10027,4,0,4,1682.0,4070.0,1910,2,C3,2820000.0,2016-10-14,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1911,14,C5,145 WEST 126TH STREET,10027,11,0,11,1499.0,2286.0,1910,2,C5,3003837.0,2017-02-08,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,1,1911,148,B1,130 W 127 ST,10027,2,0,2,1557.0,2343.0,1910,2,C3,2525000.0,2016-10-25,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1914,56,C5,160 WEST 130TH STREET,10027,8,0,8,1873.0,2700.0,1910,2,C5,1575000.0,2016-09-15,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1914,144,C5,126 WEST 130TH,10027,4,0,4,1665.0,2497.0,1910,2,C5,1600000.0,2017-03-24,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1914,146,C5,132 WEST 130 STREET,10027,11,0,11,1749.0,2625.0,1910,2,C5,20000.0,2016-09-17,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1915,25,C2,111 WEST 130 STREET,10027,6,0,6,1998.0,3025.0,1939,2,C2,1525000.0,2017-03-31,78
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1915,116,C2,131 WEST 130 STREET,10027,5,0,5,1665.0,3334.0,1910,2,C2,2000000.0,2017-05-25,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1937,145,C5,232 WEST 132ND STREET,10027,11,0,11,1499.0,2250.0,1910,2,C5,725000.0,2017-03-16,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1937,148,C5,242 WEST 132 STREET,10027,7,0,7,1682.0,2561.0,1910,2,C5,530000.0,2017-03-23,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1940,12,C5,255 WEST 134TH STREET,10030,11,0,11,1499.0,2025.0,1910,2,C5,3350000.0,2017-05-25,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1940,114,C5,245 WEST 134 STREET,10030,11,0,11,1499.0,2025.0,1910,2,C5,1339325.0,2017-05-19,107
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1940,124,C5,215 WEST 134 STREET,10030,7,0,7,1699.0,2550.0,1910,2,C5,1365000.0,2016-10-11,106
1,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2A,1941,159,C3,266 WEST 136 STREET,10030,4,0,4,1665.0,4290.0,1910,2,C3,2100000.0,2017-05-03,107
